budget,target_share,source_cases,target_cases,defined,average_source_case_equivalence,censored,censor_at,ci_lower,ci_upper,ci_lower_censored,ci_upper_censored
50,0,50,0,True,0.04018408501380665,False,,0.0,0.18341706974567057,False,False
50,10,45,5,True,0.2226986119246179,False,,0.11876774980092045,0.35547193877550987,False,False
50,20,40,10,True,0.29012088581877293,False,,0.14549946376589565,0.44757436590824345,False,False
50,30,35,15,True,0.319966331920822,False,,0.14874448131263032,0.5883066878714325,False,False
50,40,30,20,True,0.24114858458621088,False,,0.07129815706251641,0.5765022944132847,False,False
50,50,25,25,True,0.13706135717188175,False,,-0.04709944566887174,0.5411598148652339,False,False
50,60,20,30,True,0.36973109830626677,False,,-0.11145480278594988,0.8384615384615366,False,False
50,70,15,35,True,0.5698387753914176,False,,-0.07973911983420313,1.038131946934383,False,False
50,80,10,40,True,1.1318414826498433,False,,0.5441521126760549,1.5859855334538921,False,False
50,90,5,45,True,1.8527996845425831,False,,1.3317962835512873,2.9138404873211146,False,False
50,100,0,50,False,,False,,,,,
100,0,100,0,True,0.07771132122834895,False,,0.0163368821292775,0.1517054142611952,False,False
100,10,90,10,True,0.17615784008307353,False,,0.08920107171546575,0.3242489571851561,False,False
100,20,80,20,True,0.20579055351842185,False,,0.06734713254842424,0.38969170607493603,False,False
100,30,70,30,True,0.1942702486966489,False,,-0.024751849577622765,0.36015618037608105,False,False
100,40,60,40,True,0.20994840956887492,False,,-0.018959227074396404,0.48314609881511783,False,False
100,50,50,50,True,0.1036277602523667,False,,-0.11849090909090734,0.4971832618523246,False,False
100,60,40,60,True,0.28866120218579494,False,,-0.12892998678995937,0.9595394736842117,False,False
100,70,30,70,True,0.5386626711322677,False,,-0.2553544494721114,1.2812037699833065,False,False
100,80,20,80,True,0.6917592102943771,False,,-0.13352162685605862,1.6102239926105653,False,False
100,90,10,90,True,1.7757121570689876,False,,0.7025463725167569,3.2814263227993563,False,False
100,100,0,100,False,,False,,,,,
200,0,200,0,True,0.08356723286754246,False,,0.05288953913679594,0.1273642110944064,False,False
200,10,180,20,True,0.17365109095688755,False,,0.073461940399137,0.3378148791990605,False,False
200,20,160,40,True,0.11146921825709777,False,,0.02066384826325396,0.386792974398232,False,False
200,30,140,60,True,0.16375500491047848,False,,-0.039645984488367196,0.474881770653647,False,False
200,40,120,80,True,0.06283565426875934,False,,-0.19149134534196494,0.37231186373012215,False,False
200,50,100,100,True,-0.02536753040719361,False,,-0.35169553327256137,0.3133700492149066,False,False
200,60,80,120,True,-0.08454838285563877,False,,-0.4262450502589109,0.2581915425997778,False,False
200,70,60,140,True,-0.25807549595348933,False,,-0.7214391630282548,1.0611450381678822,False,False
200,80,40,160,True,-0.7295402752213164,False,,-1.3443845441925029,0.5558965517241283,False,False
200,90,20,180,True,-1.5514346439956967,False,,-2.377321460216187,5.840000000000001,False,True
200,100,0,200,False,,False,,,,,
